Pays_indic,Country Name,Country Code,Indicator Name,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
ARB_GDP (current US$),Arab World,ARB,GDP (current US$),337549547244.976,348014409739.897,326468482079.219,306719348516.324,311103662288.948,307936049163.907,294002996370.774,313465089539.683,308330509427.81104,323314077349.905,447404218571.61896,441364876455.326,472480149505.78,477835381695.086,488405203979.391,524727370529.985,579211260569.318,614231323446.941,592474728278.125,644771018945.187,735810487829.104,724040283088.5741,729796093462.44,823992663640.045,965049505953.746,1186104638692.92,1405832084460.85,1639411682786.42,2079914135289.0,1794335975358.48,2106020669993.19,2494062136233.61,2772882408120.13,2855314187005.31,2892806937260.03,2529694233782.42,2463433552289.4,2513494434830.3,2772024698688.2,2815410447182.25
ARB_GDP growth (annual %),Arab World,ARB,GDP growth (annual %),9.13764502480899,2.9104065769096694,-9.079802593673039,-6.84099490387767,1.35640028163742,-2.29437198610646,4.7096416215512305,-0.49568371514645504,5.60264785580628,2.3575643735775,13.1115740697629,1.51430118275435,4.98215811973901,3.27095722748187,3.1983343150803196,2.75456058611314,4.59631196067049,4.23993009829829,5.2661498482556794,1.7899495645217902,5.45976703336868,1.5711333341904097,0.583700726422066,5.3316437587734,9.321557150151119,5.74979204376243,6.501869830278849,4.55228104218928,5.80879130388399,0.425263876221834,4.64212941140521,3.81627506869742,6.59012056047933,3.18426649425578,2.4474097768542404,3.17354738841917,3.42176468215062,1.13716880993037,2.0898365840205697,1.47843968259384
"ARB_Industry (including construction), value added (% of GDP)",Arab World,ARB,"Industry (including construction), value added (% of GDP)",60.9450650004371,57.5369174122199,50.0443387696361,45.455161353353795,44.3642078925089,41.5354341259778,37.19913758994829,38.7013910332277,37.56924861388371,39.3673637353085,45.4752671788173,40.734364171011705,42.9475204539503,41.3980690345893,39.972477993248205,41.2826590722681,42.392448924602604,43.305276166743496,39.0899309214108,42.379532336846296,47.7291486780241,45.6297567213797,45.98649524817991,47.3146639762358,48.6777920012091,51.94027690448811,52.867514867417896,51.754646073269996,54.676638165850804,46.236790518137596,49.294267450755704,54.255849125896205,53.839226357522705,51.9565820323559,50.1503259507161,41.4154743787919,39.723307431173396,41.9206347503048,44.7591936984912,43.5980268679033
"ARB_Population, total",Le monde arabe,ARB,"Population, total",164420785.0,169698994.0,175061792.0,180505996.0,186035305.0,191650331.0,197338142.0,203084971.0,208889682.0,214753970.0,222653373.0,228731685.0,232956352.0,239243261.0,245449409.0,253107289.0,259000953.0,264822188.0,270575803.0,276393837.0,282344154.0,288432163.0,294665185.0,301113849.0,307862843.0,314965793.0,322452754.0,330290716.0,338395961.0,346629220.0,354890042.0,363158703.0,371443547.0,379705717.0,387907747.0,396028278.0,404024435.0,411898967.0,419790591.0,427870270.0
ARB_Émissions totales de GES (kt d’équivalent CO2),Le monde arabe,ARB,Émissions totales de GES (kt d’équivalent CO2),927714.23694,838921.40287,888519.74506,902705.57708,888825.86564,740597.16293,769537.09992,774812.32342,803738.85509,841210.94186,803898.9680917,844941.021556,842557.509374,888560.0053200001,920110.69303,1229230.39782,1258068.56858,1268677.8015700001,1743814.2099799998,1790897.0140200001,1850378.1590099998,1787026.04210762,1927544.1554865001,1963193.01545,1660586.94882,1767878.64478,1731288.7916599999,2355481.34745,2364088.66275,2387502.01095604,1924244.97278668,2483349.10406116,1908696.04241466,,,,,,,
"ARE_Agriculture, forestry, and fishing, value added (% of GDP)",United Arab Emirates,ARE,"Agriculture, forestry, and fishing, value added (% of GDP)",0.490602457342951,0.5483067646587849,0.6403664578853879,0.730600581680254,0.8424715103891791,0.9258265349935592,1.18452414390845,1.1432293421377702,1.1977351916376298,1.1930257919562701,1.0584284754869,1.29776800811633,1.37862107758448,1.4809010773751201,1.8304250168803302,1.78706830470903,1.79243187203791,2.0040218645695798,2.1808904913030602,2.3332451971134303,2.26265009303746,2.23820016235649,2.2033225886436902,1.92768393253654,1.6653619090599299,1.39540987408529,1.09424400194674,0.9766711676662829,0.8273054640932299,1.03688688860825,0.7634527420403591,0.671910149003627,0.638882185152986,0.64376304382726,0.6395046068242191,0.7409992465316508,0.7760545678620671,0.7705473397015071,0.718738960296143,0.7308401706881529
ARE_Alternative and nuclear energy (% of total energy use),United Arab Emirates,ARE,Alternative and nuclear energy (% of total energy use),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025763191848601,0.0969070800104919,,,,,
ARE_Energy use (kg of oil equivalent per capita),United Arab Emirates,ARE,Energy use (kg of oil equivalent per capita),7093.691178792929,8089.50219312244,8299.10989469491,7582.074778238431,9333.638079987879,10040.8150119605,10774.6670999322,11281.1111053148,10905.9804580761,11871.7202078484,11170.263373207199,12124.9493457667,10890.4676380772,10820.0938826278,11355.4246562804,11463.2253870456,11511.782400715801,11558.5514056126,11223.9598551692,10870.447203235,10057.9350376604,12172.423993685201,11462.4757493797,10568.8275000727,10286.820676552199,9698.2879000049,8716.289691621441,8127.9450035808995,8367.151530145971,7572.35443781093,7215.218898552841,7190.97033490384,7481.193874680091,7604.83968640702,7648.39988387457,,,,,
ARE_GDP (current US$),United Arab Emirates,ARE,GDP (current US$),43598748449.0479,49333424135.1131,46622718605.2847,42803323345.1376,41807954235.903,40603650231.5445,33943612094.7971,36384908744.2114,36275674203.2144,41464995913.9199,50701443748.2975,51552165622.4462,54239171887.769005,55625170253.337006,59305093979.842,65743666575.8649,73571233996.1863,78839008444.5655,75674336283.1858,84445473110.9598,104337372362.151,103311640571.81801,109816201497.61699,124346358066.71199,147824370319.94598,180617467964.602,222116541865.214,257916133424.09802,315474615738.598,253547358747.447,289787338325.391,350666031313.819,374590605854.323,390107556160.654,403137100068.074,358135057862.492,357045064669.84296,385605506854.88104,422215043584.969,421142267937.65
ARE_GDP growth (annual %),United Arab Emirates,ARE,GDP growth (annual %),23.874774910498,4.659176674065151,-6.719316185707839,-4.7458206999658,4.0169512795941005,-3.59447651736838,-14.9581365645327,3.3819817090087794,-2.61890770383279,12.337891282260001,18.3279855336405,0.8600819457782191,3.3449448618412,1.26119095149724,6.8961485505266795,6.68788646362944,5.79840406132159,8.1903986407705,0.291994348685435,2.90221364464598,10.852704212598601,1.3990850303263,2.43345681036156,8.800540814864322,9.566436637161619,4.85514119630905,9.837319773484891,3.1843901736724,3.1918362761038397,-5.2429219066759005,1.6028099606822899,6.930271629438351,4.4846260849087,5.0533458252665495,4.2843036857948,5.105936983946981,3.06096430837654,2.37353670828252,1.18985564163665,1.6777203708039499
